permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,primary_category,funding_total_usd_clean,market_share,industry_hhi,clustering_coefficient,degree_centrality,weak_tie_ratio,num_investors,working_capital,breakout_velocity
/organization/1bib,1bib,http://www.1bib.com,Cars|Curated Web,-,closed,CHN,30,Guangzhou,Guangzhou,1,2006-01-01,2008-02-07,2008-02-07,0,Curated Web,0.0,0.0,0.019806635877243118,0.09337718809231799,67.0,0.02976190476190476,1.0,0.0,0.0
/organization/1c-company,1C Company,http://1c.ru/eng,Games|Software|Video Games,200000000,closed,RUS,48,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03,0,Software,200000000.0,0.013524334480340862,0.016038692107825596,0.009755825621585461,7.0,0.2777777777777778,1.0,19.11382792951231,203.90412180076748
/organization/1calendar,1calendar,http://1calendar.com,Advertising|Education|Internet|Mobile,40000,operating,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04,1,Education,40000.0,7.377439075296238e-05,0.05425620539485939,0.0,0.0,0.0,0.0,10.596659732783579,0.0
/organization/1click,1CLICK,http://1click.io,Chat|Mobile,-,acquired,IND,19,Bangalore,Bangalore,1,2012-11-01,2014-01-26,2014-01-26,1,Mobile,0.0,0.0,0.12278296107089119,0.04320437060987847,31.0,0.06410256410256411,1.0,0.0,0.0
/organization/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,-,operating,SGP,,Singapore,Singapore,1,2012-01-01,2013-08-01,2013-08-01,1,Content,0.0,0.0,0.16682579134081613,0.0,0.0,0.0,0.0,0.0,0.0
/organization/1daylater,1DayLater,http://1daylater.com,Curated Web|Tracking,43811,closed,AUS,2,Sydney,Newcastle,2,2009-08-26,2009-05-01,2009-10-01,0,Tracking,43811.0,0.003941190610015091,0.746342421090179,0.0,0.0,0.0,0.0,10.687663031443638,0.0
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30,0,E-Commerce,50000.0,2.7179844928909196e-06,0.08048398670297363,0.0,0.0,0.0,0.0,10.819798284210286,0.0
/organization/1energy-systems,1Energy Systems,http://1energysystems.com,Software,1450000,operating,USA,WA,Seattle,Seattle,1,2010-01-01,2013-04-22,2013-04-22,1,Unknown,1450000.0,6.796705001566735e-06,0.0014423226788110742,0.0,0.0,0.0,0.0,14.187074804051692,0.0
/organization/1eq,Babyscripts,http://www.getbabyscripts.com,Health and Wellness|Mobile Health,2100000,operating,USA,DC,"Washington, D.C.",Washington,3,2013-03-08,2013-03-11,2015-04-10,1,Mobile Health,2100000.0,0.05235246421179314,0.35964301722649444,0.005574757498048835,16.0,0.47619047619047616,7.0,14.557448378884015,18.753548566051986
/organization/1jiajie,1jiajie,http://www.1jiajie.com,E-Commerce,4163132,operating,CHN,22,Beijing,Beijing,2,,2013-09-01,2014-09-16,1,Unknown,4163132.0,1.9514193163160363e-05,0.0014423226788110742,0.05505073029323224,79.0,0.05037783375314861,3.0,15.241778473781123,67.10593675848412
